t_stat,p_value,mean_diff,ci_lower,ci_upper,n_folds,model_a,model_b,ap_a,ap_b,note,contrast,cohort,rung_a,rung_b,outcome,family,p_holm,reject_holm
-0.9067989590621977,0.3798563135068697,-0.046588282449021357,-0.15678021309807494,0.06360364820003224,15,LR-elasticnet,HistGB,0.7055677554807845,0.7521560379298059,,cohort_d_gait_vs_demo,cohort_d,+ Gait Bout,Demographics,ad_adnc,primary,1.0,False
-0.3543930280140373,0.7283255477936089,-0.027648158018309894,-0.19497481677179454,0.13967850073517477,15,LR-l1,LR-l1,0.317190763297217,0.344838921315527,,cohort_d_gait_vs_demo,cohort_d,+ Gait Bout,Demographics,lb_7reg,primary,1.0,False
-0.482840767611258,0.6366717557928773,-0.029161840077161886,-0.15869921676164545,0.10037553660732168,15,HistGB,LR-elasticnet,0.6851356432394565,0.7142974833166184,,cohort_d_gait_vs_demo,cohort_d,+ Gait Bout,Demographics,tdp_st4_bin,primary,1.0,False
-0.3017497798309648,0.7672786677586692,-0.02266953723024367,-0.18380079538698707,0.13846172092649972,15,SVC-RBF,LR-l2,0.5256120206516156,0.5482815578818592,,cohort_d_gait_vs_demo,cohort_d,+ Gait Bout,Demographics,arteriol_scler_bin,primary,1.0,False
-1.3315778937911555,0.20427437560986558,-0.09586750678458807,-0.2502823204535381,0.05854730688436198,15,LR-elasticnet,LR-elasticnet,0.38345559910010313,0.4793231058846912,,cohort_d_gait_vs_demo,cohort_d,+ Gait Bout,Demographics,cvda_4gp2_bin,primary,1.0,False
-0.9771434046734443,0.3450818098144938,-0.04305279664010389,-0.1375517869312847,0.051446193651076916,15,HistGB,LR-elasticnet,0.36782324711786285,0.41087604375796666,,cohort_d_gait_vs_demo,cohort_d,+ Gait Bout,Demographics,henl_4gp_bin,primary,1.0,False
-0.29455033032628763,0.7726597965599075,-0.011021744007889097,-0.09127726366584356,0.06923377565006537,15,LR-elasticnet,RF,0.7661258417513203,0.7771475857592095,,cohort_8_gait_vs_8ft,cohort_8,+ Gait Bout,+ 8ft,ad_adnc,primary,1.0,False
0.04993418889692354,0.9608802535860348,0.005347871706942549,-0.22435534965547185,0.23505109306935693,15,LR-elasticnet,HistGB,0.35918977429090443,0.3538419025839619,,cohort_8_gait_vs_8ft,cohort_8,+ Gait Bout,+ 8ft,lb_7reg,primary,1.0,False
-0.5036426127863766,0.6223442411922829,-0.0392980215331845,-0.20665056737829102,0.128054524311922,15,LR-l1,LR-elasticnet,0.6656129222212159,0.7049109437544002,,cohort_8_gait_vs_8ft,cohort_8,+ Gait Bout,+ 8ft,tdp_st4_bin,primary,1.0,False
-0.3843209841611818,0.7065149559822804,-0.0327682963805608,-0.21563888830560787,0.15010229554448626,15,SVC-RBF,LR-elasticnet,0.5068022973269453,0.5395705937075059,,cohort_8_gait_vs_8ft,cohort_8,+ Gait Bout,+ 8ft,arteriol_scler_bin,primary,1.0,False
0.003819004342160403,0.9970067680050361,0.00031287207345320387,-0.17539885748799183,0.17602460163489825,15,LR-l2,LR-l2,0.42772878185926466,0.4274159097858115,,cohort_8_gait_vs_8ft,cohort_8,+ Gait Bout,+ 8ft,cvda_4gp2_bin,primary,1.0,False
-0.5017133115177452,0.6236665303706377,-0.0392783179542121,-0.20719017426344488,0.12863353835502067,15,HistGB,LR-l1,0.3802901903927953,0.4195685083470075,,cohort_8_gait_vs_8ft,cohort_8,+ Gait Bout,+ 8ft,henl_4gp_bin,primary,1.0,False
-0.3175774392178024,0.7554925729145905,-0.011965009193490505,-0.09277173306600298,0.06884171467902198,15,LR-elasticnet,RF,0.765182576565719,0.7771475857592095,,cohort_8_combined_vs_8ft,cohort_8,+ Gait Bout + 8ft,+ 8ft,ad_adnc,sensitivity,,False
-0.11869466669389826,0.9072035425849859,-0.011879874919023325,-0.2265466185070877,0.20278686866904108,15,LR-l1,HistGB,0.3419620276649386,0.3538419025839619,,cohort_8_combined_vs_8ft,cohort_8,+ Gait Bout + 8ft,+ 8ft,lb_7reg,sensitivity,,False
-0.580113135171868,0.571057627287251,-0.047010284938807205,-0.2208160949074177,0.12679552502980326,15,LR-l1,LR-elasticnet,0.6579006588155932,0.7049109437544002,,cohort_8_combined_vs_8ft,cohort_8,+ Gait Bout + 8ft,+ 8ft,tdp_st4_bin,sensitivity,,False
-0.33066994283705914,0.7457905946378399,-0.030387844773547383,-0.22748905205482994,0.16671336250773516,15,SVC-RBF,LR-elasticnet,0.5091827489339587,0.5395705937075059,,cohort_8_combined_vs_8ft,cohort_8,+ Gait Bout + 8ft,+ 8ft,arteriol_scler_bin,sensitivity,,False
-0.057904752106043726,0.9546428649745716,-0.004518232516758458,-0.17187314903749507,0.16283668400397816,15,LR-l2,LR-l2,0.422897677269053,0.4274159097858115,,cohort_8_combined_vs_8ft,cohort_8,+ Gait Bout + 8ft,+ 8ft,cvda_4gp2_bin,sensitivity,,False
-0.3490932283480628,0.7322141331023352,-0.027139209951944528,-0.19387924240969534,0.1396008225058063,15,RF,LR-l1,0.39242929839506296,0.4195685083470075,,cohort_8_combined_vs_8ft,cohort_8,+ Gait Bout + 8ft,+ 8ft,henl_4gp_bin,sensitivity,,False
-0.38344322060172525,0.7071509636686124,-0.012914549728845507,-0.08515198372340992,0.0593228842657189,15,LR-elasticnet,HistGB,0.7661258417513203,0.7790403914801658,,cohort_8_gait_vs_demo,cohort_8,+ Gait Bout,Demographics,ad_adnc,sensitivity,,False
0.4165120603121774,0.6833506127241895,0.039621007040920524,-0.16440335758269234,0.2436453716645334,15,LR-elasticnet,HistGB,0.35918977429090443,0.3195687672499839,,cohort_8_gait_vs_demo,cohort_8,+ Gait Bout,Demographics,lb_7reg,sensitivity,,False
-0.9319019495195534,0.3671803737840066,-0.06312679865377675,-0.208414097895173,0.08216050058761952,15,LR-l1,RF,0.6656129222212159,0.7287397208749925,,cohort_8_gait_vs_demo,cohort_8,+ Gait Bout,Demographics,tdp_st4_bin,sensitivity,,False
-0.5687796109544395,0.5785164670414494,-0.04659766659159164,-0.22231081289437554,0.12911547971119225,15,SVC-RBF,LR-l2,0.5068022973269453,0.5533999639185369,,cohort_8_gait_vs_demo,cohort_8,+ Gait Bout,Demographics,arteriol_scler_bin,sensitivity,,False
-0.2574613273430102,0.800568315657153,-0.019931843196254243,-0.18597445780624128,0.1461107714137328,15,LR-l2,LR-l2,0.42772878185926466,0.44766062505551907,,cohort_8_gait_vs_demo,cohort_8,+ Gait Bout,Demographics,cvda_4gp2_bin,sensitivity,,False
-0.6705178487023842,0.513437655407731,-0.0685708347621511,-0.28790849126434426,0.15076682174004208,15,HistGB,LR-l2,0.3802901903927953,0.4488610251549465,,cohort_8_gait_vs_demo,cohort_8,+ Gait Bout,Demographics,henl_4gp_bin,sensitivity,,False
